task,panel,n,n_pos,auc,ci_lo,ci_hi,se,brier,note,threshold,sensitivity,specificity,youden,ppv,npv,prevalence
D1,"Regulated ions (Zn, Ca, Mg)",382,142,0.5162852112676056,0.45617761969078313,0.5763928028444282,0.03066770208582582,0.23474880130733758,,0.37529409272155895,0.5633802816901409,0.5416666666666667,0.1050469483568075,0.4210526315789474,0.6770833333333333,0.3717277486910995
D1,All measured trace metals,382,142,0.5805457746478874,0.5207066887529225,0.6403848605428523,0.030530706873681365,0.23076674080434723,,0.3989670512137755,0.4154929577464789,0.7458333333333333,0.1613262910798121,0.49166666666666664,0.6832061068702291,0.3717277486910995
D1,Trace metals + demographics,382,142,0.8067194835680751,0.7588179575064367,0.8546210096297135,0.024440003203874964,0.17390834272854197,,0.3159589150994138,0.8169014084507042,0.6958333333333333,0.5127347417840376,0.6137566137566137,0.8652849740932643,0.3717277486910995
D1,Demographics only (baseline),382,142,0.810768779342723,0.763272269397207,0.8582652892882389,0.0242333585311579,0.1718505269345753,,0.2969232485180323,0.8450704225352113,0.6708333333333334,0.5159037558685446,0.6030150753768844,0.8797814207650273,0.3717277486910995
D2,"Regulated ions (Zn, Ca, Mg)",649,409,0.4960167074164629,0.4499454894588424,0.5420879253740835,0.023506155378886784,0.23497803802534556,,0.631624515227623,0.5378973105134475,0.49583333333333335,0.03373064384678082,0.6451612903225805,0.3863636363636364,0.6302003081664098
D2,All measured trace metals,649,409,0.533058272208639,0.4874042759113347,0.5787122685059433,0.023293283273272986,0.2343889026250709,,0.6594319075143958,0.31784841075794623,0.7666666666666666,0.08451507742461284,0.6989247311827956,0.3974082073434126,0.6302003081664098
D2,Trace metals + demographics,649,409,0.7015281173594131,0.6617269058214623,0.7413293288973639,0.02030711372856728,0.20642322826486886,,0.588484624605501,0.7163814180929096,0.625,0.34138141809290956,0.7650130548302871,0.5639097744360904,0.6302003081664098
D2,Demographics only (baseline),649,409,0.708613488182559,0.6692062972369507,0.7480206791281673,0.02010607912004874,0.2037476346908248,,0.5784339848833997,0.7359413202933985,0.6166666666666667,0.3526079869600651,0.7659033078880406,0.5781250000000001,0.6302003081664098
D3,"Regulated ions (Zn, Ca, Mg)",548,137,0.5789688671035573,0.5225160910559936,0.635421643151121,0.02880296602022078,0.18537593412868644,,0.22086372165347887,0.7372262773722628,0.4063260340632603,0.14355231143552305,0.2927536231884058,0.8226600985221674,0.25
D3,All measured trace metals,548,137,0.6159269717797077,0.5598257438168959,0.6720281997425195,0.028623601456624275,0.18362707298984612,,0.27799228646485596,0.48175182481751827,0.7177615571776156,0.1995133819951338,0.3626373626373627,0.8060109289617486,0.25
D3,Trace metals + demographics,548,137,0.6006180403857425,0.5443212236266046,0.6569148571448804,0.028723393492533524,0.1855281077264777,,0.26072326432260673,0.5474452554744526,0.6399026763990268,0.1873479318734792,0.336322869955157,0.8092307692307692,0.25
D3,Demographics only (baseline),548,137,0.5353597243681958,0.47900996422660086,0.5917094845097907,0.02875040591871822,0.18759008305694813,,0.30522475291291445,0.21897810218978103,0.8734793187347931,0.0924574209245741,0.3658536585365853,0.7703862660944206,0.25
D4,-,242,2,,,,,,not evaluable: fewer than 10 positive cases,,,,,,,
