term,coef,se,p,ci_lo,ci_hi,endpoint,r2,n,adiposity_adjusted,stage,cycle
Zn,-0.035495698581249485,0.02856667425798431,0.21456971822137286,-0.09148638012689873,0.020494982964399763,HOMA_B,0.06149434995204284,548,False,1: endpoint decomposition,I
Ca,-0.03572363096133385,0.028419384788624977,0.2092901351559534,-0.09142562514703881,0.019978363224371104,HOMA_B,0.06149434995204284,548,False,1: endpoint decomposition,I
Mg,-0.06539438126190453,0.029061327876094712,0.02483594559901912,-0.12235458389905016,-0.008434178624758891,HOMA_B,0.06149434995204284,548,False,1: endpoint decomposition,I
Zn,-0.009575989221592671,0.01843623175762666,0.603686695847507,-0.04571100346654093,0.026559025023355585,HOMA_B_adj,0.6108377248098495,548,False,1: endpoint decomposition,I
Ca,-0.011273734252353063,0.01833877402448695,0.5389797520435624,-0.047217731340347485,0.02467026283564136,HOMA_B_adj,0.6108377248098495,548,False,1: endpoint decomposition,I
Mg,-0.012526948882231666,0.018828757899444822,0.5061366996367181,-0.04943131436514352,0.024377416600680185,HOMA_B_adj,0.6108377248098495,548,False,1: endpoint decomposition,I
Zn,0.004359092489936304,0.02182778350910495,0.8417872388972019,-0.0384233631879094,0.047141548167782,DI,0.0907638327478908,548,False,1: endpoint decomposition,I
Ca,0.0018711395481376058,0.021715239688941915,0.9313654525393726,-0.04069073024218855,0.04443300933846376,DI,0.0907638327478908,548,False,1: endpoint decomposition,I
Mg,0.015895900304348683,0.022205748125867834,0.4743951766903083,-0.027627366022352273,0.05941916663104964,DI,0.0907638327478908,548,False,1: endpoint decomposition,I
Zn,-0.03985479107118562,0.03360574996623714,0.2361620341309649,-0.10572206100501041,0.02601247886263918,HOMA_IR,0.02214263146394546,548,False,1: endpoint decomposition,I
Ca,-0.037594770509471284,0.0334324790759946,0.26130030796293385,-0.1031224294984207,0.027932888479478127,HOMA_IR,0.02214263146394546,548,False,1: endpoint decomposition,I
Mg,-0.0812902815662529,0.03418765899981904,0.017764296089750716,-0.1482980932058982,-0.014282469926607574,HOMA_IR,0.02214263146394546,548,False,1: endpoint decomposition,I
