term,coef,se,p,ci_lo,ci_hi,endpoint,r2,n,adiposity_adjusted,stage,cycle
Ca,-0.00041638569837826843,0.014750087898534877,0.9774823105140175,-0.029326557979506625,0.02849378658275009,HOMA_B,0.0772990312695041,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_serum,-0.026568664338947785,0.014956883075177634,0.07584239708272333,-0.05588415516629595,0.0027468264884003765,HOMA_B,0.0772990312695041,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_diet,-0.11778817683219736,0.01542821550460858,3.63571679205394e-14,-0.14802747922123016,-0.08754887444316455,HOMA_B,0.0772990312695041,1825,False,2b: are the two magnesium measures the same exposure?,L
Ca,-0.009486859339000942,0.008622826060305892,0.27138940871457223,-0.02638759841720049,0.007413879739198607,HOMA_B_adj,0.6849388123243727,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_serum,0.010321748319581298,0.008764519515479274,0.23908075109083518,-0.006856709930758081,0.027500206569920676,HOMA_B_adj,0.6849388123243727,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_diet,-0.024160134632245974,0.009155480460203374,0.008389329698373336,-0.04210487633424459,-0.006215392930247362,HOMA_B_adj,0.6849388123243727,1825,False,2b: are the two magnesium measures the same exposure?,L
Ca,-0.01403490523942363,0.010502878875598524,0.1816213176482589,-0.03462054783559674,0.006550737356749478,DI,0.10406937180188436,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_serum,0.028819050302254488,0.010650128485721364,0.006873926375620494,0.007944798470240613,0.04969330213426836,DI,0.10406937180188436,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_diet,0.022786105483033524,0.01098574325971512,0.03820561859894631,0.001254048693991889,0.04431816227207516,DI,0.10406937180188436,1825,False,2b: are the two magnesium measures the same exposure?,L
Ca,0.013618519541045482,0.017971616896827376,0.44868131768533737,-0.021605849576736176,0.04884288865882714,HOMA_IR,0.04970947765654288,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_serum,-0.05538771464120216,0.018223577679454612,0.002404749820818378,-0.0911059268929332,-0.01966950238947112,HOMA_IR,0.04970947765654288,1825,False,2b: are the two magnesium measures the same exposure?,L
Mg_diet,-0.14057428231523095,0.01879785262012295,1.1657236033741472e-13,-0.17741807345067193,-0.10373049117978997,HOMA_IR,0.04970947765654288,1825,False,2b: are the two magnesium measures the same exposure?,L
