term,coef,se,p,ci_lo,ci_hi,endpoint,r2,n,adiposity_adjusted,stage,cycle
Zn,-0.035495698581249485,0.02856667425798431,0.21456971822137286,-0.09148638012689873,0.020494982964399763,HOMA_B,0.06149434995204284,548,False,3: adiposity adjustment,I
Ca,-0.03572363096133385,0.028419384788624977,0.2092901351559534,-0.09142562514703881,0.019978363224371104,HOMA_B,0.06149434995204284,548,False,3: adiposity adjustment,I
Mg,-0.06539438126190453,0.029061327876094712,0.02483594559901912,-0.12235458389905016,-0.008434178624758891,HOMA_B,0.06149434995204284,548,False,3: adiposity adjustment,I
Zn,-0.009575989221592671,0.01843623175762666,0.603686695847507,-0.04571100346654093,0.026559025023355585,HOMA_B_adj,0.6108377248098495,548,False,3: adiposity adjustment,I
Ca,-0.011273734252353063,0.01833877402448695,0.5389797520435624,-0.047217731340347485,0.02467026283564136,HOMA_B_adj,0.6108377248098495,548,False,3: adiposity adjustment,I
Mg,-0.012526948882231666,0.018828757899444822,0.5061366996367181,-0.04943131436514352,0.024377416600680185,HOMA_B_adj,0.6108377248098495,548,False,3: adiposity adjustment,I
Zn,0.004359092489936304,0.02182778350910495,0.8417872388972019,-0.0384233631879094,0.047141548167782,DI,0.0907638327478908,548,False,3: adiposity adjustment,I
Ca,0.0018711395481376058,0.021715239688941915,0.9313654525393726,-0.04069073024218855,0.04443300933846376,DI,0.0907638327478908,548,False,3: adiposity adjustment,I
Mg,0.015895900304348683,0.022205748125867834,0.4743951766903083,-0.027627366022352273,0.05941916663104964,DI,0.0907638327478908,548,False,3: adiposity adjustment,I
Zn,-0.03985479107118562,0.03360574996623714,0.2361620341309649,-0.10572206100501041,0.02601247886263918,HOMA_IR,0.02214263146394546,548,False,3: adiposity adjustment,I
Ca,-0.037594770509471284,0.0334324790759946,0.26130030796293385,-0.1031224294984207,0.027932888479478127,HOMA_IR,0.02214263146394546,548,False,3: adiposity adjustment,I
Mg,-0.0812902815662529,0.03418765899981904,0.017764296089750716,-0.1482980932058982,-0.014282469926607574,HOMA_IR,0.02214263146394546,548,False,3: adiposity adjustment,I
Zn,-0.04190000297707754,0.02424408310498839,0.08451702834020089,-0.0894184058628548,0.005618399908699702,HOMA_B,0.3308747858704365,545,True,3: adiposity adjustment,I
Ca,0.030374922686699297,0.024534573864200944,0.21624011569687418,-0.017712842087134553,0.07846268746053314,HOMA_B,0.3308747858704365,545,True,3: adiposity adjustment,I
Mg,-0.026899368812234786,0.02482449265873546,0.27903653204436785,-0.07555537442335628,0.02175663679888671,HOMA_B,0.3308747858704365,545,True,3: adiposity adjustment,I
Zn,-0.013500966227825031,0.018345821697102076,0.4621043184021257,-0.0494587767541451,0.022456844298495038,HOMA_B_adj,0.6198119866165535,545,True,3: adiposity adjustment,I
Ca,0.0012700272257845637,0.018567037979768494,0.9454909376493001,-0.03512136721456168,0.03766142166613081,HOMA_B_adj,0.6198119866165535,545,True,3: adiposity adjustment,I
Mg,-0.008578954455261328,0.018751675188290642,0.6474946710251819,-0.045332237824310985,0.028174328913788328,HOMA_B_adj,0.6198119866165535,545,True,3: adiposity adjustment,I
Zn,0.006405816238488413,0.021416736077137222,0.764976954366606,-0.035570986472700544,0.04838261894967737,DI,0.13451412560858766,545,True,3: adiposity adjustment,I
Ca,-0.019131538776643926,0.021673349779373807,0.3777815638386202,-0.061611304344216584,0.023348226790928732,DI,0.13451412560858766,545,True,3: adiposity adjustment,I
Mg,0.004263048128032474,0.021929458219501614,0.8459375849373042,-0.03871868998219069,0.047244786238255634,DI,0.13451412560858766,545,True,3: adiposity adjustment,I
Zn,-0.04830581921556592,0.027098773738002464,0.0752190172028472,-0.10141941574205074,0.004807777310918908,HOMA_IR,0.37073238863605595,545,True,3: adiposity adjustment,I
Ca,0.04950646146334341,0.027423469183187683,0.07159413613053253,-0.004243538135704453,0.10325646106239127,HOMA_IR,0.37073238863605595,545,True,3: adiposity adjustment,I
Mg,-0.031162416940267123,0.027747525316037216,0.2619095533052879,-0.08554756655970007,0.02322273267916582,HOMA_IR,0.37073238863605595,545,True,3: adiposity adjustment,I
Ca,0.0025840341725117816,0.013581385098956884,0.8491202919216917,-0.02403548062144371,0.029203548966467274,HOMA_B,0.03577192416615638,2252,False,3: adiposity adjustment,L
Mg,-0.01889980669073831,0.013685136428362707,0.16740212323976209,-0.045722674090329214,0.007923060708852597,HOMA_B,0.03577192416615638,2252,False,3: adiposity adjustment,L
Ca,-0.006196665871108696,0.007955299577039695,0.4360997603995835,-0.021789053042106495,0.009395721299889104,HOMA_B_adj,0.6694110447011875,2252,False,3: adiposity adjustment,L
Mg,0.009383995135685802,0.008026526512530678,0.2424782778644378,-0.006347996828874328,0.025115987100245932,HOMA_B_adj,0.6694110447011875,2252,False,3: adiposity adjustment,L
Ca,-0.01047442104650717,0.009592165906449606,0.27496048994340044,-0.029275066223148398,0.008326224130134056,DI,0.09707507430512063,2252,False,3: adiposity adjustment,L
Mg,0.023163213084348273,0.009665442671479396,0.016633900827387683,0.004218945448248659,0.042107480720447885,DI,0.09707507430512063,2252,False,3: adiposity adjustment,L
Ca,0.013058455219018909,0.016373360769629662,0.4252201908227516,-0.019033331889455225,0.04515024232749305,HOMA_IR,0.014199957346710312,2252,False,3: adiposity adjustment,L
Mg,-0.04206301977508661,0.016498440644348824,0.010853216966772234,-0.07439996343801031,-0.009726076112162918,HOMA_IR,0.014199957346710312,2252,False,3: adiposity adjustment,L
Ca,0.033830650777393896,0.011738239666938639,0.0039883748139449724,0.010823701030194165,0.05683760052459363,HOMA_B,0.2920700667882289,2231,True,3: adiposity adjustment,L
Mg,0.018318391101210103,0.011861592352944527,0.12264704279575495,-0.004930329910561169,0.04156711211298138,HOMA_B,0.2920700667882289,2231,True,3: adiposity adjustment,L
Ca,-0.0009762934074228316,0.008004610444013825,0.9029366635283727,-0.016665329877689927,0.014712743062844265,HOMA_B_adj,0.6733422487666292,2231,True,3: adiposity adjustment,L
Mg,0.011163866121015775,0.008060425088336397,0.16618471053260855,-0.004634567052123562,0.026962299294155112,HOMA_B_adj,0.6733422487666292,2231,True,3: adiposity adjustment,L
Ca,-0.020538164989687795,0.0093283063263907,0.02778860090011095,-0.03882164538941357,-0.00225468458996202,DI,0.15890401545163668,2231,True,3: adiposity adjustment,L
Mg,0.007142947244841345,0.009426333941594959,0.4486718771680215,-0.011332667280684772,0.025618561770367462,DI,0.15890401545163668,2231,True,3: adiposity adjustment,L
Ca,0.054368815767081746,0.013455795285653025,5.513703169402118e-05,0.027995457007201817,0.08074217452696167,HOMA_IR,0.3458749135831368,2231,True,3: adiposity adjustment,L
Mg,0.011175443856368846,0.013597197108918366,0.4112257838172961,-0.015475062477111152,0.03782595018984884,HOMA_IR,0.3458749135831368,2231,True,3: adiposity adjustment,L
